jianjie,name
"嗯，这个月其实没啥事，主要想和大家聊聊书屋相关的内容。
首先是关于书屋的小社区
经过半年的观察，可以说书屋社区是失败了，目前社区的活跃度不高，用户也不多（每天在线的用户最多十来人）。原本站长的想法...",八月随便说说
    站长不善言辞，千言万语最后汇成一句，只想对所有捐赠的书友说：万分感激！！！你们捐赠的每一分钱后续都会被用在更换更好的服务器上，同时也将让站长更有动力投入到书籍资源的更新里。&...,感谢所有捐赠的书友！！！
"
内容简介
尾指银戒·九州系列作品

包含以下作品：

《九州·飞》

《九州·海潮三十年·双瞳》

《九州·海潮三十年·夏阳》

《九州·秋叶城破》

《九州·商路》

《九州·弹指成雪》

本系列作品多...",《尾指银戒·九州系列作品（自制，共6册）》尾指银戒（作者）epub+mobi
"
内容简介
半世纪前，一位自称为无神论者的西方建筑泰斗，为西欧培育神职人员的古老宗教团体设计修道院，他们之间会擦撞出什么火花？

几十年后，一位来自东方的教徒兼摄影家，在这座世界知名的建筑物里恣意...",《山丘上的修道院：勒·柯布西耶的最后风景》范毅舜（作者）epub+azw3
"
内容简介
爱因斯坦逝世后，物理学家们在这条统一路上，又走过了一个甲子的历程。六十年的风风雨雨，点点滴滴，理论物理学家们作了些什么？统一之路如今走到了哪里？前途如何？本书作者从介绍牛顿力学、量子力...",《爱因斯坦与万物之理：统一路上人和事》张天蓉（作者）epub+mobi+azw3
"
内容简介
了解巴菲特朴素而富有哲学性的价值投资智慧，读这本书足矣。

献给所有追随并渴望获得如巴菲特一样成就的人。

这是一本精确而严谨的书，旨在指导投资者能够像巴菲特一样聪明地投资。巴菲特可谓...",《巴菲特投资圣经：价值投资的24条黄金法则》[美]詹姆斯·帕多（作者）epub+mobi+azw3
"
内容简介
《重庆棒棒：都市感知与乡土性》以一个特殊的农民工群体——重庆“棒棒”（以从事人力搬运为主的农民工群体，因其手拿一根用于搬运的竹棒，重庆市民称其为“棒棒”。）为研究对象，以其所固有的乡土社会的...",《重庆“棒棒”：都市感知与乡土性》秦洁（作者）epub+mobi+azw3
"
内容简介
所谓的生命意义，不如说是迎合大多数的行为，但毕竟还有一些人站在大多数的对立面。被认同也许是重要的，但总有一些人心底并不在乎。

《伤心者》以压倒性的优势获得第十五届中国科幻银河奖，这种...",《伤心者》何夕（作者）epub+mobi+azw3
"
内容简介
当金兵的铁蹄即将踏碎黄河坚冰，他走进了这个繁华如清明上河图的时代。
特别说明
排版/制作：小书屋，文本来自知轩藏书",《寒门枭士（自制）》高月（作者）epub+mobi
"
内容简介
中国词史上第一部词总集《花间集》，对后世词坛有着巨大深远的影响。《花间集》成书于五代后蜀广政三年（940），在此后千年的传播史上，出现了较多版本，但迄无一个较为完善的的校注本行世，这对《花...",《花间集校注(套装共2册)》[后蜀]赵崇祚（作者）epub+mobi+azw3
